Japanese English
一 one
七 seven
万 Ten_thousand
三 three
上 above
下 under
中 Medium
九 nine
二 two
五 Five
人 people
今 now
休 Closed
何 what
先 destination
入 Enter
八 eight
六 Six
円 circle
出 Out
前 before
北 north
十 ten
千 thousand
午 Afternoon
半 half
南 south
友 friend
右 right
名 given_name
四 four
国 country
土 soil
外 outside
大 large
天 Heaven
女 woman
子 child
学 studies
小 small
山 mountain
川 river
左 left
年 year
後 rear
日 day
時 time
書 calligraphy
月 month
木 tree
本 book
来 Next
東 east
校 school
母 mother
毎 every
気 air
水 water
火 fire
父 father
生 raw
男 man
白 white
百 hundred
聞 Listen
行 line
西 west
見 look
話 story
語 word
読 reading
車 car
金 gold
長 long
間 between
雨 rain
電 electric
食 food
高 high
